Designator,Mid X,Mid Y,Rotation,Layer
C1401,71.7296,-9.9314,180.0,top
C1402,78.486,-5.842,90.0,top
C201,28.956,-3.683,270.0,top
C202,18.5928,-13.1164,270.0,top
C203,13.335,-21.1174,180.0,top
C204,12.5984,-16.0374,180.0,top
C205,23.0124,-16.4692,180.0,top
C206,17.3482,-12.8116,270.0,top
C207,24.9663,-17.0026,0.0,top
C208,24.9943,-17.9932,0.0,top
C209,19.939,-26.162,270.0,top
C210,55.626,-55.372,180.0,top
C211,16.2313,-16.0324,90.0,top
C212,13.3103,-24.5414,0.0,top
C213,13.0556,-14.46,90.0,top
C214,20.2438,-16.4692,0.0,top
C301,59.5236,-25.4948,180.0,top
C302,69.328,-24.3772,0.0,top
C303,59.93,-19.856,90.0,top
C304,64.8068,-17.1128,90.0,top
C305,62.1792,-15.6464,180.0,top
C306,62.5856,-13.9192,0.0,top
C307,56.3892,-25.6472,180.0,top
C308,56.4248,-19.348,0.0,top
C309,59.5236,-23.412,180.0,top
C310,69.328,-22.396,0.0,top
C311,67.804,-11.8296,90.0,top
C312,73.8114,-21.2276,0.0,top
C401,77.5716,-3.5052,180.0,top
C402,59.436,-55.372,0.0,top
D1001,85.1155,-50.8,0.0,top
D101,8.3312,-33.2332,180.0,top
D102,20.7772,-73.66,0.0,top
D103,4.318,-76.3016,0.0,top
D104,4.2925,-73.66,0.0,top
D1101,90.1955,-50.8,0.0,top
D1201,95.2755,-50.8,0.0,top
D201,12.5221,-73.66,0.0,top
D202,11.684,-26.934,180.0,top
D301,68.9724,-4.362,180.0,top
D302,59.168,-10.5088,90.0,top
D601,64.7955,-50.8,0.0,top
D701,69.8755,-50.8,0.0,top
D801,74.9555,-50.8,0.0,top
D901,80.0355,-50.8,0.0,top
J101,84.3026,-9.8298,180.0,top
J1303,91.42,-110.46,0.0,top
J301,59.6252,-3.981,180.0,top
J501,72.614,-63.266,90.0,top
R1001,83.9216,-40.132,90.0,top
R1002,86.2076,-40.132,270.0,top
R101,11.7094,-32.8014,0.0,top
R102,70.0786,-30.5054,0.0,top
R103,75.374,-31.2166,0.0,top
R104,59.944,-74.422,0.0,top
R1101,89.0016,-40.132,90.0,top
R1102,91.2876,-40.132,270.0,top
R1201,94.0816,-40.132,90.0,top
R1202,96.3676,-40.132,270.0,top
R1401,71.501,-7.5015,0.0,top
R201,5.842,-13.208,180.0,top
R202,12.8524,-19.3394,0.0,top
R203,12.8524,-18.3234,0.0,top
R205,7.366,-27.061,0.0,top
R207,4.445,-25.41,0.0,top
R208,4.445,-27.1372,90.0,top
R301,66.1276,-11.8296,270.0,top
R302,60.7936,-10.1532,270.0,top
R303,57.4916,-10.3564,270.0,top
R304,64.7052,-15.6396,0.0,top
R305,62.5856,-11.811,0.0,top
R306,62.5856,-12.8456,180.0,top
R307,63.8924,-17.57,270.0,top
R308,65.8228,-17.1128,270.0,top
R309,59.5236,-24.4788,0.0,top
R310,61.454,-17.57,270.0,top
R311,62.9272,-17.57,270.0,top
R312,69.342,-23.3934,180.0,top
R313,69.8868,-20.9736,180.0,top
R314,67.9564,-17.1128,270.0,top
R315,66.8896,-17.1128,270.0,top
R401,30.099,-6.731,0.0,top
R601,63.6016,-40.132,90.0,top
R602,65.8876,-40.132,270.0,top
R701,68.6816,-40.132,90.0,top
R702,70.9676,-40.132,270.0,top
R801,73.7616,-40.132,90.0,top
R802,76.0476,-40.132,270.0,top
R901,78.8416,-40.132,90.0,top
R902,81.1276,-40.132,270.0,top
SW201,8.7094,-42.6012,0.0,top
U1001,85.1408,-45.72,180.0,top
U1101,90.2208,-45.72,180.0,top
U1201,95.3008,-45.72,180.0,top
U1401,75.571986,-6.4855,180.0,top
U201,18.796,-21.087,90.0,top
U202,24.1042,-12.329,180.0,top
U203,6.8834,-20.0642,270.0,top
U301,73.2536,-15.7924,270.0,top
U302,64.3496,-22.3452,90.0,top
U401,33.2795,-3.871,180.0,top
U601,64.8208,-45.72,180.0,top
U701,69.9008,-45.72,180.0,top
U801,74.9808,-45.72,180.0,top
U901,80.0608,-45.72,180.0,top
X201,26.543,-20.955,270.0,top
Y301,56.4248,-22.4976,90.0,top
