Designator,Mid X,Mid Y,Rotation,Layer
C201,21.659,-9.525,180.0,top
C202,16.7822,-9.1826,180.0,top
C203,51.0032,-7.493,180.0,top
C204,50.4564,-3.5432,180.0,top
C205,65.0698,-5.2528,0.0,top
C206,37.465,-10.16,180.0,top
C207,62.23,-3.302,0.0,top
C208,62.23,-4.3738,0.0,top
C209,57.658,-12.954,270.0,top
C210,62.86,-8.758,270.0,top
C211,62.86,-5.9132,90.0,top
C212,41.4274,-3.4135,270.0,top
C213,54.6982,-2.8066,0.0,top
C214,50.4818,-2.4764,180.0,top
C215,58.3304,-2.8066,0.0,top
C216,50.6984,-11.7856,180.0,top
C217,48.199,-23.749,0.0,top
D101,17.6275,-57.8612,0.0,top
D201,17.6275,-55.1942,0.0,top
D202,26.104,-9.5128,0.0,top
D301,60.96,-71.12,0.0,top
D401,66.04,-71.12,0.0,top
D501,71.12,-71.12,0.0,top
D601,76.2,-71.12,0.0,top
D701,81.28,-71.12,0.0,top
J101,91.42,-110.46,0.0,top
J102,83.84,-110.46,0.0,top
J103,76.22,-110.46,0.0,top
J104,68.55,-52.05,90.0,top
J105,68.55,-59.67,90.0,top
J201,29.4494,-3.897,180.0,top
J202,39.37,-19.055,0.0,top
J203,41.91,-19.055,0.0,top
J204,44.45,-19.055,0.0,top
R101,54.2036,-15.1638,90.0,top
R201,18.415,-14.478,90.0,top
R202,50.4818,-5.753,0.0,top
R203,50.4564,-4.6862,0.0,top
R204,33.2232,-10.3124,0.0,top
R205,30.607,-10.3378,0.0,top
R206,39.9675,-22.86,180.0,top
R207,40.5892,-10.1532,0.0,top
R208,62.2504,-7.3864,0.0,top
R209,48.26,-16.7894,0.0,top
R210,48.26,-20.32,0.0,top
R301,60.198,-33.4905,90.0,top
R302,62.357,-33.4905,270.0,top
R401,65.278,-33.4905,90.0,top
R402,67.437,-33.4905,270.0,top
R501,70.358,-33.4905,90.0,top
R502,72.517,-33.4905,270.0,top
R601,75.438,-33.4905,90.0,top
R602,77.597,-33.4905,270.0,top
R701,80.518,-33.4905,90.0,top
R702,82.677,-33.4905,270.0,top
SW202,17.7264,-63.2922,0.0,top
U201,56.6928,-7.4676,90.0,top
U202,18.7994,-4.672,180.0,top
U203,44.7802,-6.4448,270.0,top
U301,61.087,-38.862,180.0,top
U401,66.167,-38.862,180.0,top
U501,71.247,-38.862,180.0,top
U601,76.327,-38.862,180.0,top
U701,81.407,-38.862,180.0,top
Y201,65.2222,-8.0468,90.0,top
